n = 76

dim = 2;

vertices = [
    [ 22 24 ]
    [ 22 27 ]
    [ 22 28 ]
    [ 23 7 ]
    [ 23 12 ]
    [ 23 19 ]
    [ 23 21 ]
    [ 23 22 ]
    [ 23 28 ]
    [ 23 32 ]
    [ 24 16 ]
    [ 24 21 ]
    [ 24 22 ]
    [ 24 26 ]
    [ 24 27 ]
    [ 25 17 ]
    [ 25 20 ]
    [ 25 29 ]
    [ 25 31 ]
    [ 26 16 ]
    [ 26 24 ]
    [ 26 27 ]
    [ 26 30 ]
    [ 26 33 ]
    [ 27 22 ]
    [ 27 24 ]
    [ 27 26 ]
    [ 27 28 ]
    [ 27 30 ]
    [ 28 22 ]
    [ 28 23 ]
    [ 28 27 ]
    [ 28 30 ]
    [ 28 32 ]
    [ 29 20 ]
    [ 29 25 ]
    [ 29 31 ]
    [ 29 35 ]
    [ 30 26 ]
    [ 30 27 ]
    [ 30 28 ]
    [ 30 32 ]
    [ 30 33 ]
    [ 30 34 ]
    [ 31 25 ]
    [ 31 29 ]
    [ 31 35 ]
    [ 31 38 ]
    [ 32 23 ]
    [ 32 28 ]
    [ 32 30 ]
    [ 32 34 ]
    [ 32 36 ]
    [ 32 37 ]
    [ 33 26 ]
    [ 33 30 ]
    [ 33 34 ]
    [ 33 36 ]
    [ 33 43 ]
    [ 34 30 ]
    [ 34 32 ]
    [ 34 33 ]
    [ 34 36 ]
    [ 35 20 ]
    [ 35 29 ]
    [ 35 31 ]
    [ 35 38 ]
    [ 35 41 ]
    [ 36 32 ]
    [ 36 33 ]
    [ 36 34 ]
    [ 36 37 ]
    [ 36 39 ]
    [ 36 40 ]
    [ 36 43 ]
    [ 37 32 ]
    [ 37 36 ]
    [ 37 39 ]
    [ 37 46 ]
    [ 37 48 ]
    [ 38 31 ]
    [ 38 35 ]
    [ 38 41 ]
    [ 38 42 ]
    [ 38 45 ]
    [ 39 36 ]
    [ 39 37 ]
    [ 39 40 ]
    [ 39 46 ]
    [ 40 36 ]
    [ 40 39 ]
    [ 40 43 ]
    [ 40 46 ]
    [ 41 35 ]
    [ 41 38 ]
    [ 41 42 ]
    [ 41 44 ]
    [ 41 52 ]
    [ 42 38 ]
    [ 42 41 ]
    [ 42 44 ]
    [ 42 45 ]
    [ 43 33 ]
    [ 43 36 ]
    [ 43 40 ]
    [ 43 46 ]
    [ 43 50 ]
    [ 44 41 ]
    [ 44 42 ]
    [ 44 45 ]
    [ 44 49 ]
    [ 44 52 ]
    [ 45 38 ]
    [ 45 42 ]
    [ 45 44 ]
    [ 45 47 ]
    [ 45 49 ]
    [ 45 51 ]
    [ 46 37 ]
    [ 46 39 ]
    [ 46 40 ]
    [ 46 43 ]
    [ 46 48 ]
    [ 46 50 ]
    [ 47 45 ]
    [ 47 49 ]
    [ 47 51 ]
    [ 48 37 ]
    [ 48 46 ]
    [ 48 50 ]
    [ 48 53 ]
    [ 48 57 ]
    [ 49 44 ]
    [ 49 45 ]
    [ 49 47 ]
    [ 49 51 ]
    [ 49 52 ]
    [ 49 54 ]
    [ 49 56 ]
    [ 50 43 ]
    [ 50 46 ]
    [ 50 48 ]
    [ 50 53 ]
    [ 51 45 ]
    [ 51 47 ]
    [ 51 49 ]
    [ 51 55 ]
    [ 51 56 ]
    [ 51 59 ]
    [ 52 41 ]
    [ 52 44 ]
    [ 52 49 ]
    [ 52 54 ]
    [ 53 48 ]
    [ 53 50 ]
    [ 53 57 ]
    [ 53 64 ]
    [ 54 49 ]
    [ 54 52 ]
    [ 54 56 ]
    [ 54 60 ]
    [ 55 51 ]
    [ 55 56 ]
    [ 55 59 ]
    [ 55 60 ]
    [ 55 63 ]
    [ 56 49 ]
    [ 56 51 ]
    [ 56 54 ]
    [ 56 55 ]
    [ 56 60 ]
    [ 57 48 ]
    [ 57 53 ]
    [ 57 58 ]
    [ 57 64 ]
    [ 57 65 ]
    [ 58 57 ]
    [ 58 61 ]
    [ 58 65 ]
    [ 58 66 ]
    [ 58 71 ]
    [ 59 51 ]
    [ 59 55 ]
    [ 59 61 ]
    [ 59 62 ]
    [ 59 63 ]
    [ 59 68 ]
    [ 59 70 ]
    [ 60 54 ]
    [ 60 55 ]
    [ 60 56 ]
    [ 60 63 ]
    [ 60 70 ]
    [ 60 73 ]
    [ 61 58 ]
    [ 61 59 ]
    [ 61 62 ]
    [ 61 66 ]
    [ 61 69 ]
    [ 62 59 ]
    [ 62 61 ]
    [ 62 67 ]
    [ 62 68 ]
    [ 62 69 ]
    [ 63 55 ]
    [ 63 59 ]
    [ 63 60 ]
    [ 63 70 ]
    [ 64 53 ]
    [ 64 57 ]
    [ 64 65 ]
    [ 65 57 ]
    [ 65 58 ]
    [ 65 64 ]
    [ 65 71 ]
    [ 65 74 ]
    [ 66 58 ]
    [ 66 61 ]
    [ 66 69 ]
    [ 66 71 ]
    [ 66 74 ]
    [ 66 75 ]
    [ 67 62 ]
    [ 67 68 ]
    [ 67 69 ]
    [ 67 72 ]
    [ 67 76 ]
    [ 68 59 ]
    [ 68 62 ]
    [ 68 67 ]
    [ 68 70 ]
    [ 68 72 ]
    [ 68 73 ]
    [ 69 61 ]
    [ 69 62 ]
    [ 69 66 ]
    [ 69 67 ]
    [ 69 75 ]
    [ 69 76 ]
    [ 70 59 ]
    [ 70 60 ]
    [ 70 63 ]
    [ 70 68 ]
    [ 70 73 ]
    [ 71 58 ]
    [ 71 65 ]
    [ 71 66 ]
    [ 71 74 ]
    [ 72 67 ]
    [ 72 68 ]
    [ 72 73 ]
    [ 72 76 ]
    [ 73 60 ]
    [ 73 68 ]
    [ 73 70 ]
    [ 73 72 ]
    [ 73 76 ]
    [ 74 65 ]
    [ 74 66 ]
    [ 74 71 ]
    [ 74 75 ]
    [ 74 76 ]
    [ 75 66 ]
    [ 75 69 ]
    [ 75 74 ]
    [ 75 76 ]
    [ 76 67 ]
    [ 76 69 ]
    [ 76 72 ]
    [ 76 73 ]
    [ 76 74 ]
    [ 76 75 ]
];
